Word,Total,monthValue
islamic,243,:1:1::2:4:7:3:11:4:3:2:4:2:4:7:1:2:2:2:3:2:5:4:4:4:3:3:4:6:20:4:3::3:5:7:4:5:2:2::3:1::4:2:1:2:2:1:1::1:3:4:2::1:4:1:3:6::4:1:1::1:7:::1:::1:1::1:1:1::1::::4:2:1:::1:::1:2::::1::1:1::1::1:::::1:::::2:1:1:::1:1:1:1
italian,242,2:1:1:3:11:12:5:3:7:5:4:2:2:5:4:6:1:1:4:6:12:2:2:3:2:2:2:5:8:2:3:4:2:1:4:2:6:2:2:3:1:::3:1:3:2::1:2:3:4:2:3:2:3:1:1:2:1:4:2:1:2:2:2::1:1:2:2:1::3::1:2:1:2::1:::1::1:1:1:::1:::1:2:1:::1:1::1::1::2:::1:::1:1:1::1:::::1::1:1
indian,233,:1:4:2:6:4:1:1:::2:1:2:1:5:2:2:4:8:3:8:10:10:8:10:3:2:4:1:4:1:3:4:2:2:1:2:3:4:4::2:1:2:1:1:2:3:6:3:6:2:5:4:1:::2:1:5:2:1:1::1:1:5::3:2:::2:1:::1:2::::1:1::1:3:2:2:2:1:1:::::::::1:1::::1::1:1:1::::::2::3:1:1:::1::1
palestinian,232,3:1:9:8:2:6:4:1:4:6:1:3::1:2:1:6:3:3:6:10:3:::7::1:3:2:1:8:8:2:1:2:1:4:2:11:2:4:2:1::4:1:::1:4:15:3:1:::3:1:1::4:5:1:1:1:3:1::2:1:1:1::::::1:1:1:::::1::2::::::::2::1:3:::::::::::::1:1:3:1::1:1:5:2:1:2::2
spanish,228,5:2:6:4:3:6:2:1:5:4:2:2::3:2:2:2:1:5:6:2:3::1::2:1:1:8::2:2:2:::2:3:1:2:3:8:1:2:2:3:1:2:1:3:1:3:5:1:1:4:4:1:2:2:3:2:3:2::2:7:1:2:4:1:2:1:1:2::1:::1:::1:::::1::2:1::1::2:1:::1:2:9:2::::6:3:1::3:::2:1:2:1::1::::1:2:1::1
democratic,210,1:1::2:2:3::2:3:2:1:1:1:1:1:2:::2::2:1::2:5:3:::1:1:3:1:3::1:3:2:4:8:16:10:2:7:10:3:9:3:3:4:3:2:1:1:3::1:1:1:1:2:2:5:6::3:1:3:1::1:1:::2:1::1:::5:2:1:::2:3:1:1:2:1:6:2:1:1:1:2::1::::::::::1::::::::::1::::1
australians,176,:1::1:2:2:1:1:1:2:2:4:6:7:9:9:8:1:10:12::1::1:3:1:3:1:2:2:2:2::1::2:2:::2:1:1:1:3:::::1:1:2:1:1::::1::::2:1:1:::::2:2:2:2:1:::1:1::1::1::1:1::::::2::3:1:3:4:8:::4:2:1::1:::1::2:1::1:::::1:3::1::::::1
afghan,174,::::::3:1:1:4:2:1:2::2:1:1::1:::9:7::2:1::2:4:2:3:1:2:2:3:::1::2:1::::3:1::1:1:2:1:2:2:4:1:1:1:4:6:12:12:4:11:5:4:2:5:2:2:1::1::2:::1:4::1:1:1:::::1:1:1:::::::::::::::::1:::1:::::1::::3:3
pakistani,173,::1::3::1::2:2:3:1::1:7:2:2:3:2:1:2:6:2:5:3:2::1:2:1:2:2:4::2:2:3:6:1:5:1::1:1:2:1:5:2:2:3:::1::3:1::1:3:11:1:2:6:2:3:4:3:1:1:3:1::1:1:::1::7:::2::2::::::2:::::1::::2:::::::2:::2:1:::::::1:::::::1
gmt,170,1::2::2:1::::2::2:4::2:2:1:1:2:1:4:5:3:3:1:7:2::2::4:6:3:1:3:3:1:1::9:4:4:6:3:5:4:::1:2:4:4:2:3:3:3:1:::2:8:4:4:5:3:2::1:::1:1:1:1::2:1:2:::::2
