Word,Total,monthValue
israel,474,4:2:9:8:8:7:7:3:6:6:3:4::6:10:10:5:6:7:6:31:24:7:2:9:5:2:4:3:4:6:5::3:8:5:4:4:20:4:8:7:4:3:6:4:2::3:6:19:7:2:5:5:3:3:1:3:6:7:3:4:2:3:4:6:10:3:1:1::1::1::2:2:3::1:1::1::3:1:2:1:2:1::2:1:1:3:5::1:::1:::2::1:1:1:1:2:3:1:::1:8:3::2::2:1:1
washington,470,1:4:2:1:13:3:11:5:5:4:9:1:5:6:13:6:7:8:10:2:5:5:3:4:4:8:7:6:3:2:6:10:12:3:7:7:7:5:14:17:10:8:3:5:4:2:10:5:4:6:11:1:5:4:2:5:2:1:5:6:9:5:8:3:2:6:5:3:4:3:3:2:3:4:1:1::3:5:4:1:2:::1:4:4::3:4:2:2:1:1::2:1:1:1:2:1:2:1:1:::2:1:::::2:1:1:::1::1
new york,463,:1:6:9:4:8:5:2:8:7:8:7:4:5:6:6:7:4:3:7:1:6:8:8:11:7:1:2:5:4:2:4:7:3:10:13:8:6:14:11:7:7:6:3:4:4:5:4:5:2:5:4:6:3:5:7:1:4:5:5:4:4:8:7:6:3:4:3:4:9:2:1:3::2:2:1:2:7:4:2:4::2:::2:1:5:2:4:1::1:4:5:3:2::2::::1::2:3:1:3::1:1:2:1:::::::1:1
japan,456,5:2:4:2:11:10:4:5:10:8:6:7:3:6:13:2:6:1:5:13:4:2:5:6:4:2:4:1:4:4:3:12:2:2:10:7:10:9:7:7:6:6:4:10:7:2:6:5:7:5:2:8:7:2:3:6:3:5:4:2:1:3:4:4:2:3:1:4:1:5:4:2::2::1:12:5:1:3:4:3::2:::3::6:2:2::5:2:6::1:1:1:2:3:::1:2::3:4::2:1:2:::1:5:2::2::::1::1
iran,451,1::1:5:4:5:3:8:3:5:2:7:4:7:12:14:1:12:7:13:13:10:9:4:5:8:9:5:14:13:17:10:2:1:7:17:7:6:13:1:8:3:3:4:4:2:4:1:3:2:2:2:1:3:6:12:6:2:4:4:5:3:6:1:7:6:6:3:4::1:1:1::1::3:2::1::::1:::3:2:1:4:2:::4:4:3::2::1::1:::::2::3:2:::2:::1::1
california,428,:1::1:7:3:7:3:8:7:8:3:2:5:6:1:6:2:10:5:4:7:3:4:7:3:4:3:3:4:6:13:6:1:4:4:3:6:5:11:9:10:10:6:4:3:6:7:8:4:6:10:3:11:5:7:3:6:3:2:4:4:6:6:4:3:5:4:7:2:3:6:3:1::1:6:4:3:5:3::::1:1:1:2:2:3:2:5:2:2:2:1:1:2::2:1::1:1::::1:1:::1:::::::1:1:2
india,411,5:3:1::8:8:3::4:1:3:3:1:5:5:4:9:7:8:6:12:15:14:11:11:3:2:6:1:3:4:5:6:7:6:7:7:10:4:6:2:3:5:4:1:4:4:4:6:6:8:1:3:6:5:2:2:5:6:9:5:2:4::5:3:6:2:1:4:2:1:3:2::3:4:4::::4:1::1:2:5:2:3:2:1:1:::2:1::1:1:1:2::::1:1:3:1:1:::::1:2::3:1:2:::2:1:1
america,406,:2:5:4:6:11:2:3:5:4:7:4:7:4:11:2:1:6:5:5:3:7:4:3:9:2:3:7:3:2:6:7:6:3:3:10:9:8:13:16:12:8:5:7:4:7:9:4:5:2:3:2:2:3:4:5:5:1::1:2:6:7:1:5:8::1:1:3:1:1:::1:::2:3:4:4:2::1::1:3:4:4:2:2:6:1:2:2:4:1:::1::1:1::3::2:1::1:1:::::::1:::::2
new zealand,383,4:1:1::8:4:2:1:2:1:3:1:2:7:8:4:7:5:13:16:13:15:14:11:33:12:15:9:9:6:5:5:4:8:8:6:6:2:3:2:5:3:2:3:1:3:3::2:7:1:3:3:9:1:2:1:::1:2:2:1:2:1:1::1:1:2:1::1::::2:2:1:1::1::1:1::1::3:1:2::1:2:2:::3::4:2:::1::1:4:1::3::::1::1
white house,383,::3:2:12:8:10:4:6:2:4:6:4:9:10:8:3:11:2:2:5:5:4:6:7:6:3:4:2:3:8:7:7:1:4:5:6:7:5:14:6:8:3:8:6:3:6:3::3:5:3:3:3:1:4:1:4:1:2:6:8:5:6:3:6:4:3:1::1:1:1::3::1:3:5:2:1:3:::2::5:2:2:1:3::::1:1::1:1:::1:2:::2:1:1::::::::::2:1:::1:2
britain,366,1::3:3:7:9:3:5:14:5:4:5:1:6:7:6:10:2:7:6:7:7:6:7:8:5:2:1:7:3:6:3:8:1:5:3:6:6:4:2:2:2:4:6:3:3:3:3:4:4:5:7:2:1:1:5:3:5:4:1:5:7:7:1:4:1:2:4:2:2:2:1:1:5::1:3:6::3:4::3:1:::::1::1::2:2:3::::2:6:2:2::1::1:1:1:1:1:::1::1:2:1
pakistan,335,:2:2::5:1:4::2:1:4:4:2:3:10:3:4:3:3:2:3:9:10:3:8::1:2:8:2:3::8:1:6:2:4:11:4:9:3::2:1:4:6:7:5:3:6::2:3:3:5:3:2:2:8:14:4:6:9:7:10:7:4:4:2:6:2::1:1:::3:1:8:2::2::1:::2::1:4:2::::2:1:::2:::::::2:::2:1:1::::2::2::1:::1::1
spain,317,1:3:3:4:4:4:4:2:7:1:2:2:1:3:1:4:4::3:11:2:6:2::4:3:2:2:6:1:2::2:1:3:2:5:1:4:3:6:3:8:4:1:1:4:3:2::4:4:4:4:9:6:1:5:2:1:4:3:5:3:4:5:4:2:6::2:1:3:3::2:1:2:1:1:1:3::::1::::2::2:1:4:2::1:1:3:18:4::::6:5:2:3:3:3::2:1:1:1:3:1:1:::1:1:::1
italy,301,1::1:2:5:15:4:4:7:4:3:2:4:4:6:8:3:1:3:16:11:4:1:8:3:2:3:4:5:1:5:1:4:3:7:3:7:2:2:1:4:4:1:4:3:5:3:1:2:2:3:1:3:3:2:4:3:3:3:2:2:5:1:3:1:3:2:1:2:1::1:1:3::2:5:1:1:1::1::1::1::2::1:3:3:::2:1::1::5::1::1:1::2:4:1:2:1:1:2:2
florida,270,:1:2:1:6:6:2:3:4:6:5:3::2:4:2:1:1::4:2:2:4:4:6:2:2:2:1:1::3:1:1:3:4:3:11:3:10:6:4:5:4:5:7:3:3:6:4:3:5:6:::3:3::1:6:4:1:4:2:2:3:2:4:1:4:3:3::1:2:2::5:1:3:1:1:1::1:1::2:2:4:2::2:4:1:4:1:1:::::::1::::::::::::::1:::1
brazil,241,10:4:12:8:7:8:3:3:3::2:1:4:2:5:2:1::3:11:5:1:1:3:::2:1:1:1:2:1:2:1::4:5:1:3:1:2::2:4:1:2:1:2::1:2:2:5:1:2:13::1:1:4:2:4:::2:1:4:1:2:2::1:1:1:1::4:2:3:2:2:2::::1:::::1:2:2:2:8::::1:1:::::1::1:::4:1::3:2::3:::::::::1
africa,239,2:2::5:2:4:2:8:5:1:2:2:3:1:3:3:1:4::3:8:3:3:1:2:3::2:::6:5:9::2:6:3:8:5:5:5:2:3:3:3:3::1:2:1:3:2:7:5:1:2:2:1:1:8:7:9:5:3:1::3::1::2::1::1:::4::2:1:1::1::1:1:::3:2:2:1:2:1:::1::::::::1::::1::::::::1:::::1
middle east,237,2:1:2:4:3:5:6:1:1:3:2:4:1::5:9:7:5:2::9:10:5:1:5:4:3:2:3:1:3:4:3:1:3:6:8:2:13:3:2:4::2:5:2::1:2::4:1::::2:::1:1:6:2:1:1:2:1:3:4:2:1::::1::1:2:1:4:1:1:::1:::1:2::1:1:::1:1:3:2:1::::::::1:4::::::1::1:::1:2
texas,237,::1::8:4:2:2:2:8:11:2:2:1:5:1:5:3:2:2:::2:1:2:2:1:1:3::4:4:3:2:2:3:3:5:4:9:2:2:3:1:3:3:2:1:4:1:4:5:1:5:2:1:1::2:1:2:2::5:1:::2:3:1:2:1:1::1:1:1:3:1::2:3:1::3:5:4:3:2:3:6:4:1:2:1::1:1::1:1::1::::1:1:1::1:::::::1::1:2::1
sydney,227,::1::1:4:1:::6:2:1:6:17:16:4:9:2:11:7:2:5:::3::4:1:3:3:2:2:2:8:8:4:2::1:2:4::4:1::3::1::2:3:2:1::1::1::3:::1::1::1:1:::1:1:::2:::::2::::1:::1:::5:3:2:2:7:4:6:::1:1::1:1:1:::1:5::2:2:1::::::1::::2:1
mexico,226,:1:5:1:2:5:1:3:2:2:5:4::2:5:2:3:1:1:16:2:2:4:3:::3::1:1:1:2:1:2:2:1:3:2:2:3:1:3:3:3:1:2::2:2:2:2:1:2:6:4:5:2:4:3:4:2:3:2::4:2:4:3:7:3:4:4::1:1:1::::::1:1:1:1:1:2::2::4::1::7::1:1:1:2:::::::2:2::1:1::2:::2:::1
south africa,225,:1:::3:2:1:4:2::3:2:1:1:7:1:2::2:6:8:4:6:4:6:1::2:3:2:1:2:4:8:2:6:2:6:3:2:3:8:3:4:3:::3::5:3:2:2:5:1:2:1:2::1:6:4:4:1:1:2:4:5:3:2::1:1:1:1::1:1:2:1:1:2::1::1:1:::2:1:::2:2:::1::1:1:::::1:::1:6:::::::::::::2
turkey,219,:1:::4:3:4:2::2:1:2:3:3:8:1:2:4:2:1::1:7:2:4:4:6:2:2:9:9:3:1:4:1:7:4:3:3:5:1::4:2:2:2:2:::1:2:2::2:3:1:1:2:2:4::1:2:2:5:1:4:6:1:1:::3::::1::1::1:::2:::::1:1:1:4::4:3::1:1:1:2:2::1:::1:1:::1:::1:::5:2:::::2
netherlands,218,:2::1:1:5:4:4:3:1::2:2:4::4:6:1:4:9:2:4:3:2:2:2:2::3:::2:1:2:4:5:5:3:3:3:3:3:5:4::1:1:::1:3:4:7:1:3:3:2:1:2:2:1:5:2:1::2:1:1:4:1::1::1::1:1:3:::1::::1::1::1:2:3:1::2:8::::1:2::::1::1:1:3::2:1:::1::9:2:2
usa,213,3:3:9:3:8:10:8::2:6:4:3:2:6:7:3:5:2:3:7:4:3:2:1:2:2:2:1:1:1:2:3:1:2:1:3:3:4:2:2:2:2:1:2:::1:1:1:5:1:3:1:1:2:3:::3:2::2:4::::1::2::1::::::1:1:1:::1:::::1::1::1:1:1::4:1::2::6:1:2::1:1::2::1::1:1:2:::2
indonesia,212,3:1:4::5:5::::1::1:4:2:6:6:3:1:7:5:4:2:2:4:::5:1:1::3:8:1:6:2:3:8:9:4:8:6:2:1:5:2::2:2:2:3:6:1:2:2:2:3:2:2::1:4:6:1:1:1:2::1::2:1:2:::1::3::2::::::1:1::::2:3::::::::1:::::::2:::::1:::1::::::::1::1
baghdad,205,1::3:4:10:13:3:2:6:2:2:3:5:5:5:2:8:4:4:5:4:5:2:2:5:6:3:3:1:4:4:4:2:2:1:4:2:2:3:2:7:1:1:::2::1::3:1:1:1:3::2:1:2:1:2::3:4:1:2:3:2:3:::1:1:1:1::::1::::1::::1::1::::::::::::::::::::::::::::::1:1
south korea,192,4:1:::1:5:1:2:1::2:2:4:2:3:2:3:1:3:5:1:3:2:7::2:3:2:2:2:2:9:4:1:1:4:4:2:1:3:1:4::3:3:1:4:1:::1:1:4:3:2:4:2:1:1:1:2:1:2:::1:2:2:2:2:1:3:1:3::1::::1:1:1::::1:1::1:1:::1:4:2::1:1:1:1::1:::2:1:2:4::1:::1::1::::1:::1:1:1
taiwan,192,1:5:4:1:12:3:::1:1::1:::1:1:3:1:3:::1::::1:1:1::2:1:1:2:5:9:12:19:10:6:3:6:9:6:10:6:1:2:1:2:3:3:2:::3:2:1:4:1::1::5:1:1:::::::1::1:::1::::1:1:::::::::::1::::::1::::::::1:::::::::::1:1
